kills,total_drops,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
465,109,6,5,4,3,3,7,5,6,1,4,5,1,6,6,2,5,3,4,2,3,2,4,5,5,1,5,2,4
387,74,1,5,2,4,3,2,6,2,1,3,2,1,1,2,2,1,3,1,5,2,8,5,1,1,2,2,2,4
443,89,5,4,3,3,2,3,1,2,4,2,4,5,5,4,3,1,2,5,5,4,2,2,1,4,3,2,5,3
277,60,3,1,4,4,1,1,2,2,4,1,2,1,1,4,1,1,2,1,4,1,3,3,2,3,1,1,4,2
822,151,8,6,6,8,5,3,6,7,8,5,12,1,5,5,6,5,4,4,7,6,4,3,5,3,4,6,5,4
419,83,2,8,3,1,2,4,2,2,3,2,3,2,1,4,2,3,1,4,3,3,2,7,2,5,3,3,1,5
649,141,7,3,9,8,2,9,4,1,10,8,1,4,5,7,4,1,2,5,7,6,3,6,9,2,3,8,3,4
341,70,1,2,2,1,5,1,1,1,1,2,3,2,2,3,3,8,4,1,3,3,3,2,2,2,4,4,2,2
368,81,1,1,7,1,1,3,2,1,4,3,5,3,4,3,3,1,1,7,2,2,3,2,5,4,5,3,1,3
638,145,6,5,3,1,5,5,8,7,5,4,1,4,10,4,8,5,6,3,5,9,3,8,6,6,2,8,3,5
805,167,8,7,9,6,5,9,3,6,10,5,11,3,3,7,8,5,5,7,3,7,5,6,3,9,4,4,8,1
636,127,3,4,2,3,11,5,5,3,6,2,5,4,6,2,4,9,4,2,3,7,1,1,8,4,5,4,5,9
585,118,5,5,2,6,4,1,3,5,5,4,2,6,8,6,2,3,1,6,7,4,2,4,2,8,5,1,2,9
425,82,3,1,4,3,3,3,2,3,3,2,5,3,4,1,6,2,4,1,3,4,1,3,3,2,1,2,7,3
758,147,6,5,7,4,4,8,9,4,7,8,7,3,6,5,2,8,5,6,3,5,6,4,6,1,4,6,5,3
557,116,5,6,6,4,3,4,2,2,4,4,3,2,10,3,1,6,5,8,3,1,6,2,6,3,5,3,2,7
909,184,6,3,5,9,5,3,8,6,7,4,4,10,6,12,7,8,4,1,8,10,7,7,14,7,2,9,4,8
502,111,3,4,1,1,6,4,3,4,6,5,7,1,4,2,8,4,1,8,6,1,5,4,3,5,6,2,3,4
568,109,1,6,4,7,4,3,2,2,6,2,3,3,5,5,3,4,1,6,8,9,1,3,3,5,2,6,2,3
589,116,1,5,5,8,4,5,4,5,5,4,5,4,6,5,3,2,7,3,4,2,1,1,4,5,3,7,4,4
509,119,4,5,3,2,7,6,7,4,8,4,6,3,5,2,1,4,1,3,2,2,4,9,6,5,6,5,3,2
696,142,6,2,3,3,6,5,5,5,8,11,5,7,1,6,5,9,4,6,5,4,5,6,6,3,6,1,5,4
410,92,4,3,3,3,2,4,5,4,1,1,3,4,1,4,3,1,1,4,5,2,5,3,1,5,7,6,5,2
610,132,4,8,1,4,6,6,7,7,5,3,5,5,6,6,4,8,5,7,2,5,2,2,5,1,6,3,5,4
526,111,4,6,1,3,4,4,9,1,10,3,5,1,4,5,5,4,3,2,6,1,5,4,2,4,1,6,4,4
491,107,5,3,5,1,4,5,3,4,7,4,7,3,1,3,5,3,5,3,3,6,1,1,3,1,8,6,4,3
410,76,3,4,4,3,2,1,1,5,1,4,4,1,3,3,1,1,5,1,3,2,1,2,5,4,3,3,2,4
425,87,7,5,4,4,2,1,1,1,1,3,2,3,3,5,3,5,1,3,3,3,3,4,2,2,3,8,3,2
564,111,4,6,3,5,2,6,6,7,3,3,4,3,5,1,2,1,1,1,5,4,6,7,4,2,8,5,3,4
643,143,10,12,3,4,12,3,3,6,2,13,6,8,4,5,1,1,3,6,1,3,1,8,5,8,6,3,3,3
499,89,4,3,4,2,1,2,1,6,2,6,4,2,3,5,4,1,3,3,2,3,5,5,4,2,3,6,2,1
662,130,6,7,3,4,4,5,4,8,4,4,6,6,4,4,4,3,7,4,4,6,5,3,1,4,2,3,8,7
559,110,6,6,7,5,3,4,3,3,1,2,6,4,4,4,5,1,5,7,1,3,6,5,2,4,2,4,5,2
412,89,1,5,4,5,5,5,3,2,1,4,1,4,3,2,3,4,2,3,2,3,2,4,4,5,2,3,2,5
367,85,1,2,4,5,3,3,2,3,2,2,4,3,4,1,2,4,3,3,2,6,2,1,4,7,4,2,3,3
308,58,3,1,2,2,2,7,1,3,1,2,3,2,3,1,1,2,1,3,1,4,1,2,2,1,1,2,2,2
504,84,5,6,1,7,3,4,1,3,2,4,3,5,2,5,1,2,3,2,1,3,3,5,1,2,4,3,1,2
765,175,11,4,4,13,3,4,4,7,9,4,12,8,8,7,8,7,5,3,1,4,4,5,5,9,5,6,10,5
515,96,2,1,6,1,3,2,4,4,3,4,6,5,5,2,3,1,5,9,3,4,4,4,4,3,1,2,4,1
322,65,3,1,1,2,5,1,2,2,2,2,1,5,4,3,3,2,3,1,7,1,4,2,1,1,2,1,2,1
486,100,5,2,2,3,6,1,3,1,4,2,2,4,10,4,5,3,4,2,2,1,4,4,6,6,6,3,3,2
461,81,2,2,5,4,4,3,2,4,2,1,1,1,1,2,7,4,2,2,2,3,3,1,6,3,1,3,6,4
384,83,3,1,1,6,2,2,4,5,3,3,2,2,6,5,3,1,3,5,2,1,3,2,6,2,2,5,2,1
399,85,1,1,2,1,2,4,5,8,4,5,3,2,3,3,1,3,2,4,6,2,3,7,3,4,1,2,2,1
686,129,4,6,2,4,4,3,3,4,5,8,7,5,5,5,2,2,7,7,7,7,4,1,3,6,9,4,4,1
622,127,4,2,7,6,3,2,6,4,7,7,6,4,5,1,1,5,2,2,7,3,4,8,10,3,5,7,4,2
482,109,3,8,3,4,4,6,5,1,3,3,5,5,1,4,4,5,3,5,4,5,2,4,6,3,3,5,2,3
549,100,4,4,1,1,6,3,3,5,2,4,2,2,6,5,2,2,7,5,4,4,6,3,2,5,1,3,4,4
387,95,2,4,3,2,4,2,1,4,5,1,4,2,3,6,2,8,4,5,4,9,2,1,7,3,3,1,2,1
525,111,1,4,2,2,4,8,1,3,6,5,2,6,1,4,5,8,3,2,3,7,1,7,5,2,6,4,2,7
444,87,3,5,1,3,2,5,6,3,5,2,3,4,1,2,3,2,6,5,1,2,3,4,1,1,4,2,2,6
529,112,4,11,2,1,5,8,2,2,5,5,4,4,2,6,3,5,1,2,1,3,6,5,1,5,4,5,8,2
364,62,1,5,4,2,1,1,4,3,4,3,2,1,1,1,3,2,1,2,5,3,1,1,2,4,2,1,1,1
494,104,3,1,6,3,4,4,4,2,4,1,5,3,2,8,3,2,3,5,4,5,3,6,2,4,1,4,6,6
285,67,1,3,2,2,4,2,1,1,1,3,1,1,2,2,1,7,3,2,2,3,1,4,5,1,5,2,2,3
